96.0	79	3.0
99.0	74	0.25
99.0	70	0.25
99.0	79	0.25
99.25	73	0.25
99.25	69	0.25
99.25	78	0.25
99.5	72	0.25
99.5	68	0.25
99.5	77	0.25
99.75	71	0.25
99.75	68	0.25
99.75	76	0.25
100.0	70	2.0
100.0	67	2.0
100.0	75	2.0
102.0	66	2.0
102.0	74	2.0
102.5	69	0.5
103.0	69	1.0
103.0	72	1.0
104.0	71	2.5
104.0	67	2.5
104.0	76	2.5
106.5	67	0.5
106.5	71	0.5
107.0	67	1.0
107.0	76	0.5
107.5	71	0.5
108.0	69	1.0
108.0	64	1.0
108.0	74	0.75
108.75	72	0.25
109.0	69	1.5
109.0	64	2.0
109.0	72	1.5
110.5	69	0.5
111.0	69	0.75
111.0	62	1.0
111.0	74	0.75
111.75	69	0.25
112.0	67	2.5
112.0	64	2.5
112.0	71	2.5
114.5	67	0.5
114.5	64	0.5
114.5	71	0.5
115.0	67	1.0
115.0	64	1.0
115.0	76	0.5
115.5	71	0.5
116.0	69	1.0
116.0	64	1.0
116.0	74	0.75
116.75	72	0.25
117.0	69	1.5
117.0	64	2.0
117.0	72	1.5
118.5	69	0.5
119.0	69	0.75
119.0	62	1.0
119.0	74	0.75
119.75	69	0.25
120.0	67	2.0
120.0	64	2.0
120.0	71	2.0
122.5	59	0.5
123.0	64	0.5
123.5	67	0.5
124.0	60	1.0
124.0	64	1.0
124.0	71	0.75
124.75	69	0.25
125.0	64	1.0
125.0	60	1.0
125.0	69	1.5
126.0	66	1.0
126.0	62	1.0
126.5	69	0.5
127.0	66	1.0
127.0	74	0.75
127.75	69	0.25
128.0	67	3.0
128.0	64	3.0
128.0	71	3.0
131.5	67	0.5
131.5	64	0.5
131.5	71	0.5
132.0	71	2.25
132.0	67	2.25
132.0	76	2.25
134.0	64	0.25
134.25	74	0.25
134.5	72	0.25
134.75	71	0.25
135.0	69	0.25
135.25	67	0.25
135.5	66	0.25
135.75	64	0.25
136.0	57	2.0
136.0	54	2.0
136.0	63	2.0
138.5	54	0.5
138.5	51	0.5
138.5	60	0.5
139.0	51	1.0
139.0	54	1.0
139.0	60	0.75
139.75	59	0.25
140.0	59	1.5
140.0	55	1.5
140.0	64	1.5
141.5	59	0.5
141.5	55	0.5
141.5	66	0.5
142.0	59	0.75
142.0	55	0.75
142.0	66	0.75
142.75	59	0.25
142.75	55	0.25
142.75	64	0.25
143.0	59	0.75
143.0	55	0.75
